"id","name","description","business_id","inserted_at","updated_at"
1,Authentic Food,"",,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
3,Body and Fitness,"",,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
4,Business Services,"",,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
5,Commute,"",,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
6,Games and Sports,"",,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
7,Cleaning Services,"",,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
8,Household,"",,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
9,Install/ Repair,"",,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
11,Patient Questionnaire,Patient Questionnaire,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
2,Automotive,Auto Questionnaire,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
10,COVID-19,COVID-19 Questionnaire,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
13,Wash and Iron,Wash-n-Fold Wash and Iron Services ,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
12,Wash,Wash-n-Fold Wash Services ,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
15,Bulky Wash,Wash-n-Fold Wash and Iron Services ,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
14,Dry Cleaning,Wash-n-Fold Wash and Iron Services ,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
