"id","doc_order","menu_order","menu_id","acl_role_id","inserted_at","updated_at"
1,1,3,13,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
2,2,4,7,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
3,3,5,1,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
4,4,6,4,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
5,5,7,9,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
6,6,8,14,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
7,7,9,16,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
8,8,10,11,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
9,9,11,6,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
10,10,12,12,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
12,12,1,17,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
13,13,2,18,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
27,1,1,13,emp,2019-01-11 04:44:04,2019-01-11 04:44:04
28,2,2,7,emp,2019-01-11 04:44:04,2019-01-11 04:44:04
29,3,3,1,emp,2019-01-11 04:44:04,2019-01-11 04:44:04
30,4,4,4,emp,2019-01-11 04:44:04,2019-01-11 04:44:04
31,5,5,9,emp,2019-01-11 04:44:04,2019-01-11 04:44:04
32,6,6,14,emp,2019-01-11 04:44:04,2019-01-11 04:44:04
33,7,7,16,emp,2019-01-11 04:44:04,2019-01-11 04:44:04
36,8,8,15,emp,2019-01-11 04:44:04,2019-01-11 04:44:04
37,1,1,13,associate,2019-01-11 04:44:04,2019-01-11 04:44:04
38,2,2,7,associate,2019-01-11 04:44:04,2019-01-11 04:44:04
39,5,5,9,associate,2019-01-11 04:44:04,2019-01-11 04:44:04
40,7,7,16,associate,2019-01-11 04:44:04,2019-01-11 04:44:04
41,1,2,13,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
42,2,4,7,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
43,3,5,1,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
44,4,6,4,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
45,5,7,9,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
46,6,8,14,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
47,7,9,16,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
48,8,10,11,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
49,9,11,6,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
50,10,12,12,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
51,11,13,3,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
52,12,1,17,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
53,13,2,18,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
54,3,5,1,associate,2019-01-11 04:44:04,2019-01-11 04:44:04
55,4,4,4,associate,2019-01-11 04:44:04,2019-01-11 04:44:04
56,6,6,14,associate,2019-01-11 04:44:04,2019-01-11 04:44:04
57,8,8,15,associate,2019-01-11 04:44:04,2019-01-11 04:44:04
58,1,3,13,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
59,2,4,7,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
60,3,5,1,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
61,4,6,4,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
62,5,7,9,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
63,6,8,14,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
64,7,9,16,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
65,8,10,11,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
66,9,11,6,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
67,10,12,12,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
69,12,1,17,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
70,13,2,18,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
71,14,3,20,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
72,14,3,20,branch_manager,2019-01-11 04:44:04,2019-01-11 04:44:04
73,14,3,20,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
75,1,3,13,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
76,2,4,7,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
77,3,5,1,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
78,4,6,4,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
79,5,7,9,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
80,6,8,14,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
81,7,9,16,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
82,8,10,11,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
83,9,11,6,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
84,10,12,12,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
86,12,1,17,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
87,13,2,18,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
88,14,3,20,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
89,1,1,13,support,2019-01-11 04:44:04,2019-01-11 04:44:04
90,2,2,7,support,2019-01-11 04:44:04,2019-01-11 04:44:04
91,3,3,1,support,2019-01-11 04:44:04,2019-01-11 04:44:04
92,4,4,4,support,2019-01-11 04:44:04,2019-01-11 04:44:04
93,5,5,9,support,2019-01-11 04:44:04,2019-01-11 04:44:04
94,6,6,14,support,2019-01-11 04:44:04,2019-01-11 04:44:04
95,7,7,16,support,2019-01-11 04:44:04,2019-01-11 04:44:04
96,8,8,15,support,2019-01-11 04:44:04,2019-01-11 04:44:04
97,14,13,22,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
11,11,14,3,bsp,2019-01-11 04:44:04,2019-01-11 04:44:04
98,14,13,22,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
99,14,13,22,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
68,11,14,3,owner,2019-01-11 04:44:04,2019-01-11 04:44:04
85,11,14,3,bsp_admin,2019-01-11 04:44:04,2019-01-11 04:44:04
15,4,4,8,cmr,2019-01-11 04:44:04,2019-01-11 04:44:04
74,5,6,13,cmr,2019-01-11 04:44:04,2019-01-11 04:44:04
17,7,7,7,cmr,2019-01-11 04:44:04,2019-01-11 04:44:04
18,9,9,10,cmr,2019-01-11 04:44:04,2019-01-11 04:44:04
21,11,11,6,cmr,2019-01-11 04:44:04,2019-01-11 04:44:04
14,3,3,5,cmr,2019-01-11 04:44:04,2019-01-11 04:44:04
16,6,5,19,cmr,2019-01-11 04:44:04,2019-01-11 04:44:04
19,8,8,14,cmr,2019-01-11 04:44:04,2019-01-11 04:44:04
20,10,10,9,cmr,2019-01-11 04:44:04,2019-01-11 04:44:04
22,12,12,12,cmr,2019-01-11 04:44:04,2019-01-11 04:44:04
101,1,1,23,cmr,2019-01-11 04:44:04,2019-01-11 04:44:04
100,2,2,21,cmr,2019-01-11 04:44:04,2019-01-11 04:44:04
